#   pt       r            w            wL          Qw            A            b           IP
   120   0.2380E+01   0.9087E-02   0.9300E-02   0.3458E+00   0.5640E+01   0.2702E+01   0.9126E+00
   121   0.2400E+01   0.8610E-02   0.8798E-02   0.3331E+00   0.5543E+01   0.2695E+01   0.9077E+00
   122   0.2420E+01   0.8159E-02   0.8324E-02   0.3209E+00   0.5445E+01   0.2687E+01   0.9027E+00
   123   0.2440E+01   0.7732E-02   0.7875E-02   0.3091E+00   0.5348E+01   0.2680E+01   0.8978E+00
   124   0.2460E+01   0.7329E-02   0.7450E-02   0.2977E+00   0.5252E+01   0.2673E+01   0.8928E+00
   125   0.2480E+01   0.6948E-02   0.7048E-02   0.2868E+00   0.5156E+01   0.2665E+01   0.8878E+00
   126   0.2500E+01   0.6588E-02   0.6668E-02   0.2763E+00   0.5061E+01   0.2658E+01   0.8828E+00
   127   0.2520E+01   0.6248E-02   0.6308E-02   0.2661E+00   0.4967E+01   0.2650E+01   0.8779E+00
   128   0.2540E+01   0.5926E-02   0.5968E-02   0.2563E+00   0.4875E+01   0.2643E+01   0.8730E+00
   129   0.2560E+01   0.5621E-02   0.5646E-02   0.2469E+00   0.4785E+01   0.2635E+01   0.8682E+00
   130   0.2580E+01   0.5333E-02   0.5342E-02   0.2378E+00   0.4696E+01   0.2628E+01   0.8634E+00
   131   0.2600E+01   0.5060E-02   0.5054E-02   0.2290E+00   0.4610E+01   0.2621E+01   0.8587E+00
   132   0.2620E+01   0.4802E-02   0.4781E-02   0.2206E+00   0.4526E+01   0.2614E+01   0.8541E+00
   133   0.2640E+01   0.4558E-02   0.4523E-02   0.2125E+00   0.4445E+01   0.2607E+01   0.8496E+00
   134   0.2660E+01   0.4326E-02   0.4279E-02   0.2046E+00   0.4366E+01   0.2600E+01   0.8452E+00
   135   0.2680E+01   0.4107E-02   0.4048E-02   0.1971E+00   0.4289E+01   0.2594E+01   0.8409E+00
   136   0.2700E+01   0.3900E-02   0.3830E-02   0.1898E+00   0.4216E+01   0.2587E+01   0.8367E+00
   137   0.2720E+01   0.3704E-02   0.3623E-02   0.1828E+00   0.4144E+01   0.2581E+01   0.8327E+00
   138   0.2740E+01   0.3517E-02   0.3428E-02   0.1760E+00   0.4076E+01   0.2575E+01   0.8287E+00
   139   0.2760E+01   0.3341E-02   0.3243E-02   0.1695E+00   0.4010E+01   0.2569E+01   0.8249E+00
   140   0.2780E+01   0.3174E-02   0.3068E-02   0.1632E+00   0.3947E+01   0.2563E+01   0.8212E+00
   141   0.2800E+01   0.3016E-02   0.2903E-02   0.1572E+00   0.3886E+01   0.2558E+01   0.8177E+00
   142   0.2820E+01   0.2865E-02   0.2746E-02   0.1513E+00   0.3828E+01   0.2552E+01   0.8143E+00
   143   0.2840E+01   0.2723E-02   0.2598E-02   0.1457E+00   0.3772E+01   0.2547E+01   0.8110E+00
   144   0.2860E+01   0.2588E-02   0.2458E-02   0.1403E+00   0.3719E+01   0.2542E+01   0.8078E+00
   145   0.2880E+01   0.2460E-02   0.2325E-02   0.1351E+00   0.3668E+01   0.2537E+01   0.8047E+00
   146   0.2900E+01   0.2338E-02   0.2200E-02   0.1300E+00   0.3620E+01   0.2533E+01   0.8018E+00
   147   0.2920E+01   0.2223E-02   0.2081E-02   0.1252E+00   0.3573E+01   0.2528E+01   0.7990E+00
   148   0.2940E+01   0.2113E-02   0.1969E-02   0.1205E+00   0.3529E+01   0.2524E+01   0.7963E+00
   149   0.2960E+01   0.2009E-02   0.1863E-02   0.1160E+00   0.3487E+01   0.2520E+01   0.7938E+00
   150   0.2980E+01   0.1911E-02   0.1762E-02   0.1116E+00   0.3447E+01   0.2516E+01   0.7913E+00
   151   0.3000E+01   0.1817E-02   0.1667E-02   0.1075E+00   0.3408E+01   0.2512E+01   0.7890E+00
   152   0.3020E+01   0.1728E-02   0.1577E-02   0.1034E+00   0.3372E+01   0.2509E+01   0.7867E+00
   153   0.3040E+01   0.1643E-02   0.1492E-02   0.9954E-01   0.3337E+01   0.2505E+01   0.7846E+00
   154   0.3060E+01   0.1563E-02   0.1412E-02   0.9579E-01   0.3304E+01   0.2502E+01   0.7825E+00
   155   0.3080E+01   0.1487E-02   0.1336E-02   0.9218E-01   0.3272E+01   0.2499E+01   0.7805E+00
   156   0.3100E+01   0.1414E-02   0.1264E-02   0.8870E-01   0.3241E+01   0.2496E+01   0.7786E+00
   157   0.3120E+01   0.1346E-02   0.1195E-02   0.8535E-01   0.3212E+01   0.2493E+01   0.7768E+00
   158   0.3140E+01   0.1280E-02   0.1131E-02   0.8212E-01   0.3184E+01   0.2490E+01   0.7751E+00
   159   0.3160E+01   0.1218E-02   0.1070E-02   0.7900E-01   0.3158E+01   0.2487E+01   0.7734E+00
   160   0.3180E+01   0.1159E-02   0.1012E-02   0.7600E-01   0.3132E+01   0.2485E+01   0.7718E+00
   161   0.3200E+01   0.1103E-02   0.9576E-03   0.7311E-01   0.3107E+01   0.2482E+01   0.7703E+00
   162   0.3220E+01   0.1049E-02   0.9059E-03   0.7032E-01   0.3084E+01   0.2480E+01   0.7688E+00
   163   0.3240E+01   0.9986E-03   0.8571E-03   0.6764E-01   0.3061E+01   0.2478E+01   0.7674E+00
   164   0.3260E+01   0.9504E-03   0.8108E-03   0.6505E-01   0.3039E+01   0.2476E+01   0.7660E+00
   165   0.3280E+01   0.9045E-03   0.7671E-03   0.6256E-01   0.3018E+01   0.2473E+01   0.7647E+00
   166   0.3300E+01   0.8608E-03   0.7257E-03   0.6016E-01   0.2997E+01   0.2471E+01   0.7634E+00
   167   0.3320E+01   0.8193E-03   0.6866E-03   0.5785E-01   0.2978E+01   0.2469E+01   0.7622E+00
