#   pt       r            w            wL          Qw            A            b           IP
   155   0.3080E+01   0.1460E-02   0.1333E-02   0.8957E-01   0.3652E+01   0.2540E+01   0.8067E+00
   156   0.3100E+01   0.1388E-02   0.1261E-02   0.8615E-01   0.3621E+01   0.2538E+01   0.8050E+00
   157   0.3120E+01   0.1319E-02   0.1193E-02   0.8286E-01   0.3592E+01   0.2535E+01   0.8033E+00
   158   0.3140E+01   0.1254E-02   0.1129E-02   0.7970E-01   0.3563E+01   0.2533E+01   0.8017E+00
   159   0.3160E+01   0.1192E-02   0.1068E-02   0.7665E-01   0.3535E+01   0.2530E+01   0.8001E+00
   160   0.3180E+01   0.1133E-02   0.1010E-02   0.7371E-01   0.3508E+01   0.2528E+01   0.7986E+00
   161   0.3200E+01   0.1077E-02   0.9557E-03   0.7088E-01   0.3481E+01   0.2525E+01   0.7971E+00
   162   0.3220E+01   0.1024E-02   0.9042E-03   0.6816E-01   0.3455E+01   0.2523E+01   0.7956E+00
   163   0.3240E+01   0.9740E-03   0.8554E-03   0.6554E-01   0.3429E+01   0.2521E+01   0.7941E+00
   164   0.3260E+01   0.9261E-03   0.8093E-03   0.6302E-01   0.3404E+01   0.2518E+01   0.7927E+00
   165   0.3280E+01   0.8807E-03   0.7656E-03   0.6060E-01   0.3379E+01   0.2516E+01   0.7913E+00
   166   0.3300E+01   0.8375E-03   0.7243E-03   0.5826E-01   0.3354E+01   0.2514E+01   0.7899E+00
   167   0.3320E+01   0.7964E-03   0.6853E-03   0.5601E-01   0.3330E+01   0.2512E+01   0.7885E+00
   168   0.3340E+01   0.7574E-03   0.6483E-03   0.5385E-01   0.3305E+01   0.2509E+01   0.7871E+00
   169   0.3360E+01   0.7204E-03   0.6133E-03   0.5176E-01   0.3281E+01   0.2507E+01   0.7857E+00
   170   0.3380E+01   0.6851E-03   0.5802E-03   0.4976E-01   0.3257E+01   0.2505E+01   0.7844E+00
   171   0.3400E+01   0.6517E-03   0.5490E-03   0.4783E-01   0.3233E+01   0.2503E+01   0.7830E+00
   172   0.3420E+01   0.6199E-03   0.5193E-03   0.4597E-01   0.3209E+01   0.2501E+01   0.7816E+00
   173   0.3440E+01   0.5896E-03   0.4913E-03   0.4418E-01   0.3186E+01   0.2498E+01   0.7803E+00
   174   0.3460E+01   0.5609E-03   0.4648E-03   0.4246E-01   0.3162E+01   0.2496E+01   0.7789E+00
