#   pt       r            w            wL          Qw            A            b           IP
   132   0.2620E+01   0.4132E-02   0.4199E-02   0.2119E+00   0.2070E+01   0.2373E+01   0.7037E+00
   133   0.2640E+01   0.3941E-02   0.3996E-02   0.2049E+00   0.2046E+01   0.2368E+01   0.7011E+00
   134   0.2660E+01   0.3759E-02   0.3803E-02   0.1981E+00   0.2023E+01   0.2364E+01   0.6985E+00
   135   0.2680E+01   0.3585E-02   0.3620E-02   0.1916E+00   0.2000E+01   0.2360E+01   0.6961E+00
   136   0.2700E+01   0.3420E-02   0.3445E-02   0.1852E+00   0.1979E+01   0.2356E+01   0.6937E+00
   137   0.2720E+01   0.3263E-02   0.3279E-02   0.1790E+00   0.1958E+01   0.2352E+01   0.6914E+00
   138   0.2740E+01   0.3113E-02   0.3121E-02   0.1730E+00   0.1938E+01   0.2348E+01   0.6892E+00
   139   0.2760E+01   0.2970E-02   0.2970E-02   0.1673E+00   0.1919E+01   0.2344E+01   0.6870E+00
   140   0.2780E+01   0.2834E-02   0.2827E-02   0.1617E+00   0.1900E+01   0.2341E+01   0.6850E+00
   141   0.2800E+01   0.2705E-02   0.2690E-02   0.1563E+00   0.1882E+01   0.2338E+01   0.6830E+00
   142   0.2820E+01   0.2581E-02   0.2560E-02   0.1510E+00   0.1865E+01   0.2334E+01   0.6811E+00
   143   0.2840E+01   0.2464E-02   0.2437E-02   0.1459E+00   0.1849E+01   0.2331E+01   0.6793E+00
   144   0.2860E+01   0.2352E-02   0.2319E-02   0.1410E+00   0.1833E+01   0.2328E+01   0.6775E+00
   145   0.2880E+01   0.2245E-02   0.2207E-02   0.1363E+00   0.1818E+01   0.2325E+01   0.6759E+00
   146   0.2900E+01   0.2143E-02   0.2101E-02   0.1317E+00   0.1803E+01   0.2322E+01   0.6742E+00
   147   0.2920E+01   0.2046E-02   0.1999E-02   0.1272E+00   0.1789E+01   0.2320E+01   0.6727E+00
   148   0.2940E+01   0.1953E-02   0.1903E-02   0.1229E+00   0.1776E+01   0.2317E+01   0.6712E+00
   149   0.2960E+01   0.1864E-02   0.1811E-02   0.1187E+00   0.1763E+01   0.2315E+01   0.6698E+00
   150   0.2980E+01   0.1780E-02   0.1723E-02   0.1147E+00   0.1751E+01   0.2313E+01   0.6685E+00
   151   0.3000E+01   0.1700E-02   0.1640E-02   0.1108E+00   0.1739E+01   0.2310E+01   0.6672E+00
   152   0.3020E+01   0.1623E-02   0.1561E-02   0.1070E+00   0.1728E+01   0.2308E+01   0.6659E+00
   153   0.3040E+01   0.1550E-02   0.1486E-02   0.1033E+00   0.1717E+01   0.2306E+01   0.6648E+00
   154   0.3060E+01   0.1480E-02   0.1414E-02   0.9979E-01   0.1707E+01   0.2304E+01   0.6636E+00
   155   0.3080E+01   0.1413E-02   0.1346E-02   0.9636E-01   0.1697E+01   0.2302E+01   0.6625E+00
   156   0.3100E+01   0.1350E-02   0.1281E-02   0.9305E-01   0.1688E+01   0.2300E+01   0.6615E+00
   157   0.3120E+01   0.1289E-02   0.1219E-02   0.8984E-01   0.1679E+01   0.2299E+01   0.6605E+00
   158   0.3140E+01   0.1231E-02   0.1160E-02   0.8674E-01   0.1670E+01   0.2297E+01   0.6595E+00
   159   0.3160E+01   0.1176E-02   0.1104E-02   0.8374E-01   0.1661E+01   0.2295E+01   0.6586E+00
   160   0.3180E+01   0.1123E-02   0.1051E-02   0.8084E-01   0.1653E+01   0.2294E+01   0.6577E+00
   161   0.3200E+01   0.1073E-02   0.1000E-02   0.7803E-01   0.1645E+01   0.2292E+01   0.6568E+00
   162   0.3220E+01   0.1025E-02   0.9518E-03   0.7531E-01   0.1638E+01   0.2291E+01   0.6560E+00
   163   0.3240E+01   0.9789E-03   0.9058E-03   0.7269E-01   0.1631E+01   0.2289E+01   0.6552E+00
   164   0.3260E+01   0.9351E-03   0.8621E-03   0.7015E-01   0.1624E+01   0.2288E+01   0.6545E+00
   165   0.3280E+01   0.8933E-03   0.8205E-03   0.6769E-01   0.1617E+01   0.2287E+01   0.6537E+00
   166   0.3300E+01   0.8534E-03   0.7809E-03   0.6532E-01   0.1610E+01   0.2286E+01   0.6530E+00
   167   0.3320E+01   0.8152E-03   0.7432E-03   0.6302E-01   0.1604E+01   0.2285E+01   0.6524E+00
   168   0.3340E+01   0.7788E-03   0.7073E-03   0.6080E-01   0.1598E+01   0.2283E+01   0.6518E+00
   169   0.3360E+01   0.7441E-03   0.6732E-03   0.5865E-01   0.1593E+01   0.2282E+01   0.6511E+00
   170   0.3380E+01   0.7109E-03   0.6407E-03   0.5657E-01   0.1587E+01   0.2281E+01   0.6506E+00
   171   0.3400E+01   0.6792E-03   0.6098E-03   0.5457E-01   0.1582E+01   0.2280E+01   0.6500E+00
   172   0.3420E+01   0.6489E-03   0.5803E-03   0.5263E-01   0.1577E+01   0.2280E+01   0.6495E+00
   173   0.3440E+01   0.6200E-03   0.5523E-03   0.5075E-01   0.1573E+01   0.2279E+01   0.6491E+00
   174   0.3460E+01   0.5924E-03   0.5256E-03   0.4894E-01   0.1569E+01   0.2278E+01   0.6486E+00
   175   0.3480E+01   0.5660E-03   0.5003E-03   0.4719E-01   0.1565E+01   0.2277E+01   0.6482E+00
   176   0.3500E+01   0.5408E-03   0.4761E-03   0.4549E-01   0.1561E+01   0.2277E+01   0.6479E+00
   177   0.3520E+01   0.5167E-03   0.4531E-03   0.4386E-01   0.1558E+01   0.2276E+01   0.6475E+00
   178   0.3540E+01   0.4937E-03   0.4313E-03   0.4227E-01   0.1556E+01   0.2276E+01   0.6472E+00
   179   0.3560E+01   0.4718E-03   0.4104E-03   0.4075E-01   0.1553E+01   0.2275E+01   0.6470E+00
   180   0.3580E+01   0.4508E-03   0.3906E-03   0.3927E-01   0.1551E+01   0.2275E+01   0.6468E+00
   181   0.3600E+01   0.4307E-03   0.3718E-03   0.3784E-01   0.1550E+01   0.2274E+01   0.6467E+00
   182   0.3620E+01   0.4116E-03   0.3538E-03   0.3646E-01   0.1549E+01   0.2274E+01   0.6466E+00
   183   0.3640E+01   0.3933E-03   0.3368E-03   0.3513E-01   0.1548E+01   0.2274E+01   0.6465E+00
   184   0.3660E+01   0.3758E-03   0.3205E-03   0.3384E-01   0.1548E+01   0.2274E+01   0.6465E+00
   185   0.3680E+01   0.3591E-03   0.3050E-03   0.3260E-01   0.1549E+01   0.2274E+01   0.6466E+00
   186   0.3700E+01   0.3431E-03   0.2903E-03   0.3140E-01   0.1550E+01   0.2275E+01   0.6467E+00
   187   0.3720E+01   0.3279E-03   0.2763E-03   0.3024E-01   0.1552E+01   0.2275E+01   0.6469E+00
   188   0.3740E+01   0.3133E-03   0.2630E-03   0.2912E-01   0.1554E+01   0.2275E+01   0.6471E+00
   189   0.3760E+01   0.2993E-03   0.2503E-03   0.2803E-01   0.1558E+01   0.2276E+01   0.6474E+00
   190   0.3780E+01   0.2860E-03   0.2382E-03   0.2699E-01   0.1561E+01   0.2276E+01   0.6478E+00
   191   0.3800E+01   0.2733E-03   0.2267E-03   0.2598E-01   0.1566E+01   0.2277E+01   0.6482E+00
   192   0.3820E+01   0.2611E-03   0.2157E-03   0.2500E-01   0.1571E+01   0.2278E+01   0.6487E+00
   193   0.3840E+01   0.2495E-03   0.2053E-03   0.2406E-01   0.1578E+01   0.2279E+01   0.6493E+00
   194   0.3860E+01   0.2384E-03   0.1954E-03   0.2315E-01   0.1585E+01   0.2280E+01   0.6500E+00
   195   0.3880E+01   0.2277E-03   0.1860E-03   0.2228E-01   0.1593E+01   0.2282E+01   0.6507E+00
   196   0.3900E+01   0.2176E-03   0.1770E-03   0.2143E-01   0.1602E+01   0.2283E+01   0.6516E+00
   197   0.3920E+01   0.2079E-03   0.1685E-03   0.2061E-01   0.1612E+01   0.2285E+01   0.6525E+00
   198   0.3940E+01   0.1986E-03   0.1603E-03   0.1983E-01   0.1623E+01   0.2286E+01   0.6535E+00
   199   0.3960E+01   0.1897E-03   0.1526E-03   0.1906E-01   0.1635E+01   0.2288E+01   0.6545E+00
   200   0.3980E+01   0.1812E-03   0.1452E-03   0.1833E-01   0.1648E+01   0.2290E+01   0.6557E+00
   201   0.4000E+01   0.1731E-03   0.1382E-03   0.1762E-01   0.1663E+01   0.2293E+01   0.6570E+00
   202   0.4020E+01   0.1653E-03   0.1315E-03   0.1694E-01   0.1678E+01   0.2295E+01   0.6583E+00
   203   0.4040E+01   0.1579E-03   0.1252E-03   0.1628E-01   0.1696E+01   0.2297E+01   0.6598E+00
   204   0.4060E+01   0.1508E-03   0.1191E-03   0.1564E-01   0.1714E+01   0.2300E+01   0.6613E+00
   205   0.4080E+01   0.1440E-03   0.1134E-03   0.1503E-01   0.1734E+01   0.2303E+01   0.6629E+00
   206   0.4100E+01   0.1375E-03   0.1079E-03   0.1444E-01   0.1755E+01   0.2306E+01   0.6647E+00
   207   0.4120E+01   0.1313E-03   0.1027E-03   0.1387E-01   0.1778E+01   0.2309E+01   0.6665E+00
   208   0.4140E+01   0.1254E-03   0.9775E-04   0.1332E-01   0.1803E+01   0.2312E+01   0.6684E+00
   209   0.4160E+01   0.1197E-03   0.9303E-04   0.1279E-01   0.1829E+01   0.2316E+01   0.6704E+00
   210   0.4180E+01   0.1143E-03   0.8854E-04   0.1227E-01   0.1858E+01   0.2320E+01   0.6726E+00
   211   0.4200E+01   0.1091E-03   0.8427E-04   0.1178E-01   0.1888E+01   0.2323E+01   0.6748E+00
   212   0.4220E+01   0.1042E-03   0.8020E-04   0.1131E-01   0.1920E+01   0.2327E+01   0.6771E+00
   213   0.4240E+01   0.9942E-04   0.7633E-04   0.1085E-01   0.1954E+01   0.2332E+01   0.6796E+00
   214   0.4260E+01   0.9489E-04   0.7265E-04   0.1041E-01   0.1991E+01   0.2336E+01   0.6821E+00
   215   0.4280E+01   0.9055E-04   0.6914E-04   0.9983E-02   0.2030E+01   0.2341E+01   0.6848E+00
   216   0.4300E+01   0.8641E-04   0.6580E-04   0.9574E-02   0.2071E+01   0.2345E+01   0.6875E+00
   217   0.4320E+01   0.8244E-04   0.6262E-04   0.9180E-02   0.2115E+01   0.2350E+01   0.6904E+00
   218   0.4340E+01   0.7865E-04   0.5960E-04   0.8800E-02   0.2162E+01   0.2355E+01   0.6933E+00
   219   0.4360E+01   0.7503E-04   0.5672E-04   0.8435E-02   0.2211E+01   0.2360E+01   0.6964E+00
   220   0.4380E+01   0.7157E-04   0.5399E-04   0.8083E-02   0.2264E+01   0.2366E+01   0.6996E+00
   221   0.4400E+01   0.6826E-04   0.5138E-04   0.7744E-02   0.2320E+01   0.2371E+01   0.7029E+00
   222   0.4420E+01   0.6509E-04   0.4890E-04   0.7419E-02   0.2379E+01   0.2377E+01   0.7063E+00
   223   0.4440E+01   0.6207E-04   0.4654E-04   0.7105E-02   0.2442E+01   0.2383E+01   0.7098E+00
   224   0.4460E+01   0.5917E-04   0.4429E-04   0.6803E-02   0.2509E+01   0.2389E+01   0.7134E+00
   225   0.4480E+01   0.5641E-04   0.4215E-04   0.6513E-02   0.2580E+01   0.2395E+01   0.7171E+00
   226   0.4500E+01   0.5377E-04   0.4012E-04   0.6234E-02   0.2655E+01   0.2402E+01   0.7210E+00
   227   0.4520E+01   0.5124E-04   0.3818E-04   0.5966E-02   0.2734E+01   0.2408E+01   0.7249E+00
   228   0.4540E+01   0.4883E-04   0.3634E-04   0.5708E-02   0.2819E+01   0.2415E+01   0.7289E+00
   229   0.4560E+01   0.4652E-04   0.3459E-04   0.5460E-02   0.2908E+01   0.2422E+01   0.7331E+00
   230   0.4580E+01   0.4432E-04   0.3292E-04   0.5222E-02   0.3003E+01   0.2429E+01   0.7374E+00
   231   0.4600E+01   0.4222E-04   0.3133E-04   0.4992E-02   0.3104E+01   0.2436E+01   0.7417E+00
   232   0.4620E+01   0.4021E-04   0.2982E-04   0.4772E-02   0.3211E+01   0.2443E+01   0.7462E+00
   233   0.4640E+01   0.3829E-04   0.2838E-04   0.4561E-02   0.3325E+01   0.2451E+01   0.7508E+00
   234   0.4660E+01   0.3645E-04   0.2701E-04   0.4358E-02   0.3446E+01   0.2458E+01   0.7555E+00
   235   0.4680E+01   0.3470E-04   0.2570E-04   0.4163E-02   0.3574E+01   0.2466E+01   0.7603E+00
