#   pt       r            w            d(ln(w))/dr
   321   0.9600E+01   0.1119E-17  -0.8090E+01
   322   0.9630E+01   0.8774E-18  -0.8116E+01
   323   0.9660E+01   0.6876E-18  -0.8141E+01
   324   0.9690E+01   0.5384E-18  -0.8166E+01
   325   0.9720E+01   0.4212E-18  -0.8192E+01
   326   0.9750E+01   0.3293E-18  -0.8217E+01
   327   0.9780E+01   0.2573E-18  -0.8242E+01
   328   0.9810E+01   0.2008E-18  -0.8267E+01
   329   0.9840E+01   0.1567E-18  -0.8293E+01
   330   0.9870E+01   0.1221E-18  -0.8318E+01
   331   0.9900E+01   0.9511E-19  -0.8343E+01
   332   0.9930E+01   0.7402E-19  -0.8369E+01
   333   0.9960E+01   0.5757E-19  -0.8394E+01
   334   0.9990E+01   0.4473E-19  -0.8419E+01
   335   0.1002E+02   0.3474E-19  -0.8444E+01
   336   0.1005E+02   0.2695E-19  -0.8470E+01
   337   0.1008E+02   0.2090E-19  -0.8495E+01
   338   0.1011E+02   0.1619E-19  -0.8520E+01
   339   0.1014E+02   0.1253E-19  -0.8546E+01
   340   0.1017E+02   0.9695E-20  -0.8571E+01
   341   0.1020E+02   0.7494E-20  -0.8596E+01
   342   0.1023E+02   0.5789E-20  -0.8621E+01
   343   0.1026E+02   0.4468E-20  -0.8647E+01
   344   0.1029E+02   0.3446E-20  -0.8672E+01
   345   0.1032E+02   0.2655E-20  -0.8697E+01
   346   0.1035E+02   0.2045E-20  -0.8722E+01
   347   0.1038E+02   0.1573E-20  -0.8748E+01
   348   0.1041E+02   0.1210E-20  -0.8773E+01
   349   0.1044E+02   0.9294E-21  -0.8798E+01
   350   0.1047E+02   0.7135E-21  -0.8824E+01
   351   0.1050E+02   0.5474E-21  -0.8849E+01
   352   0.1053E+02   0.4196E-21  -0.8874E+01
   353   0.1056E+02   0.3214E-21  -0.8899E+01
   354   0.1059E+02   0.2460E-21  -0.8925E+01
   355   0.1062E+02   0.1881E-21  -0.8950E+01
   356   0.1065E+02   0.1438E-21  -0.8975E+01
   357   0.1068E+02   0.1098E-21  -0.9001E+01
   358   0.1071E+02   0.8379E-22  -0.9026E+01
   359   0.1074E+02   0.6389E-22  -0.9051E+01
   360   0.1077E+02   0.4868E-22  -0.9076E+01
   361   0.1080E+02   0.3706E-22  -0.9102E+01
   362   0.1083E+02   0.2819E-22  -0.9127E+01
   363   0.1086E+02   0.2143E-22  -0.9152E+01
   364   0.1089E+02   0.1628E-22  -0.9178E+01
   365   0.1092E+02   0.1236E-22  -0.9203E+01
   366   0.1095E+02   0.9373E-23  -0.9228E+01
   367   0.1098E+02   0.7104E-23  -0.9253E+01
   368   0.1101E+02   0.5380E-23  -0.9279E+01
   369   0.1104E+02   0.4071E-23  -0.9304E+01
   370   0.1107E+02   0.3078E-23  -0.9329E+01
   371   0.1110E+02   0.2326E-23  -0.9355E+01
   372   0.1113E+02   0.1756E-23  -0.9380E+01
   373   0.1116E+02   0.1325E-23  -0.9405E+01
   374   0.1119E+02   0.9988E-24  -0.9430E+01
   375   0.1122E+02   0.7524E-24  -0.9456E+01
   376   0.1125E+02   0.5663E-24  -0.9481E+01
   377   0.1128E+02   0.4260E-24  -0.9506E+01
   378   0.1131E+02   0.3202E-24  -0.9532E+01
   379   0.1134E+02   0.2404E-24  -0.9557E+01
   380   0.1137E+02   0.1804E-24  -0.9582E+01
   381   0.1140E+02   0.1353E-24  -0.9607E+01
   382   0.1143E+02   0.1014E-24  -0.9633E+01
   383   0.1146E+02   0.7592E-25  -0.9658E+01
   384   0.1149E+02   0.5680E-25  -0.9683E+01
   385   0.1152E+02   0.4246E-25  -0.9709E+01
   386   0.1155E+02   0.3172E-25  -0.9734E+01
   387   0.1158E+02   0.2368E-25  -0.9759E+01
   388   0.1161E+02   0.1766E-25  -0.9784E+01
   389   0.1164E+02   0.1316E-25  -0.9810E+01
   390   0.1167E+02   0.9805E-26  -0.9835E+01
   391   0.1170E+02   0.7297E-26  -0.9860E+01
   392   0.1173E+02   0.5426E-26  -0.9885E+01
   393   0.1176E+02   0.4032E-26  -0.9911E+01
   394   0.1179E+02   0.2994E-26  -0.9936E+01
   395   0.1182E+02   0.2221E-26  -0.9961E+01
   396   0.1185E+02   0.1647E-26  -0.9987E+01
   397   0.1188E+02   0.1220E-26  -0.1001E+02
   398   0.1191E+02   0.9032E-27  -0.1004E+02
   399   0.1194E+02   0.6681E-27  -0.1006E+02
   400   0.1197E+02   0.4938E-27  -0.1009E+02
   401   0.1200E+02   0.3648E-27  -0.1011E+02
   402   0.1203E+02   0.2692E-27  -0.1014E+02
   403   0.1206E+02   0.1985E-27  -0.1016E+02
   404   0.1209E+02   0.1463E-27  -0.1019E+02
   405   0.1212E+02   0.1077E-27  -0.1021E+02
   406   0.1215E+02   0.7926E-28  -0.1024E+02
   407   0.1218E+02   0.5828E-28  -0.1026E+02
   408   0.1221E+02   0.4282E-28  -0.1029E+02
   409   0.1224E+02   0.3143E-28  -0.1032E+02
   410   0.1227E+02   0.2306E-28  -0.1034E+02
   411   0.1230E+02   0.1690E-28  -0.1037E+02
   412   0.1233E+02   0.1238E-28  -0.1039E+02
   413   0.1236E+02   0.9060E-29  -0.1042E+02
   414   0.1239E+02   0.6626E-29  -0.1044E+02
   415   0.1242E+02   0.4842E-29  -0.1047E+02
   416   0.1245E+02   0.3536E-29  -0.1049E+02
   417   0.1248E+02   0.2580E-29  -0.1052E+02
   418   0.1251E+02   0.1881E-29  -0.1054E+02
   419   0.1254E+02   0.1371E-29  -0.1057E+02
   420   0.1257E+02   0.9979E-30  -0.1059E+02
   421   0.1260E+02   0.7259E-30  -0.1062E+02
   422   0.1263E+02   0.5277E-30  -0.1064E+02
   423   0.1266E+02   0.3833E-30  -0.1067E+02
   424   0.1269E+02   0.2782E-30  -0.1069E+02
   425   0.1272E+02   0.2018E-30  -0.1072E+02
   426   0.1275E+02   0.1462E-30  -0.1075E+02
   427   0.1278E+02   0.1059E-30  -0.1077E+02
   428   0.1281E+02   0.7663E-31  -0.1080E+02
   429   0.1284E+02   0.5541E-31  -0.1082E+02
   430   0.1287E+02   0.4003E-31  -0.1085E+02
   431   0.1290E+02   0.2890E-31  -0.1087E+02
   432   0.1293E+02   0.2085E-31  -0.1090E+02
   433   0.1296E+02   0.1503E-31  -0.1092E+02
   434   0.1299E+02   0.1083E-31  -0.1095E+02
   435   0.1302E+02   0.7794E-32  -0.1097E+02
   436   0.1305E+02   0.5605E-32  -0.1100E+02
   437   0.1308E+02   0.4029E-32  -0.1102E+02
   438   0.1311E+02   0.2893E-32  -0.1105E+02
   439   0.1314E+02   0.2076E-32  -0.1107E+02
   440   0.1317E+02   0.1489E-32  -0.1110E+02
   441   0.1320E+02   0.1067E-32  -0.1112E+02
   442   0.1323E+02   0.7637E-33  -0.1115E+02
   443   0.1326E+02   0.5464E-33  -0.1117E+02
   444   0.1329E+02   0.3906E-33  -0.1120E+02
   445   0.1332E+02   0.2790E-33  -0.1123E+02
   446   0.1335E+02   0.1992E-33  -0.1125E+02
   447   0.1338E+02   0.1421E-33  -0.1128E+02
   448   0.1341E+02   0.1013E-33  -0.1130E+02
   449   0.1344E+02   0.7211E-34  -0.1133E+02
   450   0.1347E+02   0.5132E-34  -0.1135E+02
   451   0.1350E+02   0.3649E-34  -0.1138E+02
   452   0.1353E+02   0.2593E-34  -0.1140E+02
   453   0.1356E+02   0.1841E-34  -0.1143E+02
   454   0.1359E+02   0.1306E-34  -0.1145E+02
   455   0.1362E+02   0.9261E-35  -0.1148E+02
   456   0.1365E+02   0.6560E-35  -0.1150E+02
   457   0.1368E+02   0.4644E-35  -0.1153E+02
   458   0.1371E+02   0.3285E-35  -0.1155E+02
   459   0.1374E+02   0.2322E-35  -0.1158E+02
   460   0.1377E+02   0.1640E-35  -0.1160E+02
   461   0.1380E+02   0.1157E-35  -0.1163E+02
   462   0.1383E+02   0.8161E-36  -0.1166E+02
   463   0.1386E+02   0.5751E-36  -0.1168E+02
   464   0.1389E+02   0.4049E-36  -0.1171E+02
   465   0.1392E+02   0.2849E-36  -0.1173E+02
   466   0.1395E+02   0.2003E-36  -0.1176E+02
   467   0.1398E+02   0.1407E-36  -0.1178E+02
   468   0.1401E+02   0.9878E-37  -0.1181E+02
   469   0.1404E+02   0.6929E-37  -0.1183E+02
   470   0.1407E+02   0.4857E-37  -0.1186E+02
   471   0.1410E+02   0.3402E-37  -0.1188E+02
   472   0.1413E+02   0.2381E-37  -0.1191E+02
   473   0.1416E+02   0.1665E-37  -0.1193E+02
   474   0.1419E+02   0.1163E-37  -0.1196E+02
   475   0.1422E+02   0.8124E-38  -0.1198E+02
   476   0.1425E+02   0.5669E-38  -0.1201E+02
   477   0.1428E+02   0.3952E-38  -0.1203E+02
   478   0.1431E+02   0.2754E-38  -0.1206E+02
