#   pt       r            w            d(ln(w))/dr
   235   0.7020E+01   0.1527E-08  -0.4095E+01
   236   0.7050E+01   0.1351E-08  -0.4112E+01
   237   0.7080E+01   0.1193E-08  -0.4130E+01
   238   0.7110E+01   0.1054E-08  -0.4147E+01
   239   0.7140E+01   0.9306E-09  -0.4165E+01
   240   0.7170E+01   0.8210E-09  -0.4182E+01
   241   0.7200E+01   0.7240E-09  -0.4200E+01
   242   0.7230E+01   0.6382E-09  -0.4217E+01
   243   0.7260E+01   0.5622E-09  -0.4235E+01
   244   0.7290E+01   0.4950E-09  -0.4252E+01
   245   0.7320E+01   0.4356E-09  -0.4270E+01
   246   0.7350E+01   0.3831E-09  -0.4287E+01
   247   0.7380E+01   0.3368E-09  -0.4305E+01
   248   0.7410E+01   0.2959E-09  -0.4322E+01
   249   0.7440E+01   0.2598E-09  -0.4340E+01
   250   0.7470E+01   0.2281E-09  -0.4357E+01
   251   0.7500E+01   0.2001E-09  -0.4375E+01
   252   0.7530E+01   0.1754E-09  -0.4392E+01
   253   0.7560E+01   0.1537E-09  -0.4410E+01
   254   0.7590E+01   0.1346E-09  -0.4427E+01
   255   0.7620E+01   0.1179E-09  -0.4445E+01
   256   0.7650E+01   0.1031E-09  -0.4462E+01
   257   0.7680E+01   0.9017E-10  -0.4480E+01
   258   0.7710E+01   0.7881E-10  -0.4497E+01
   259   0.7740E+01   0.6884E-10  -0.4515E+01
   260   0.7770E+01   0.6011E-10  -0.4532E+01
   261   0.7800E+01   0.5245E-10  -0.4550E+01
   262   0.7830E+01   0.4575E-10  -0.4567E+01
   263   0.7860E+01   0.3988E-10  -0.4585E+01
   264   0.7890E+01   0.3474E-10  -0.4602E+01
   265   0.7920E+01   0.3026E-10  -0.4620E+01
   266   0.7950E+01   0.2633E-10  -0.4637E+01
   267   0.7980E+01   0.2291E-10  -0.4655E+01
   268   0.8010E+01   0.1992E-10  -0.4672E+01
   269   0.8040E+01   0.1731E-10  -0.4690E+01
   270   0.8070E+01   0.1503E-10  -0.4707E+01
