#   pt       r            w            wL          Qw            A            b           IP
   150   0.2980E+01   0.2040E-03   0.1221E-03   0.1507E-01   0.4840E-01   0.1835E+01   0.4210E+00
   151   0.3000E+01   0.1967E-03   0.1151E-03   0.1462E-01   0.4884E-01   0.1838E+01   0.4224E+00
   152   0.3020E+01   0.1896E-03   0.1086E-03   0.1418E-01   0.4940E-01   0.1842E+01   0.4241E+00
   153   0.3040E+01   0.1827E-03   0.1024E-03   0.1375E-01   0.5006E-01   0.1846E+01   0.4261E+00
   154   0.3060E+01   0.1761E-03   0.9654E-04   0.1333E-01   0.5082E-01   0.1851E+01   0.4284E+00
   155   0.3080E+01   0.1697E-03   0.9103E-04   0.1292E-01   0.5169E-01   0.1857E+01   0.4310E+00
   156   0.3100E+01   0.1635E-03   0.8585E-04   0.1252E-01   0.5267E-01   0.1863E+01   0.4338E+00
   157   0.3120E+01   0.1575E-03   0.8095E-04   0.1213E-01   0.5375E-01   0.1870E+01   0.4369E+00
   158   0.3140E+01   0.1517E-03   0.7634E-04   0.1175E-01   0.5494E-01   0.1877E+01   0.4402E+00
   159   0.3160E+01   0.1461E-03   0.7198E-04   0.1138E-01   0.5624E-01   0.1884E+01   0.4436E+00
   160   0.3180E+01   0.1407E-03   0.6788E-04   0.1102E-01   0.5764E-01   0.1892E+01   0.4473E+00
   161   0.3200E+01   0.1354E-03   0.6401E-04   0.1067E-01   0.5915E-01   0.1900E+01   0.4511E+00
   162   0.3220E+01   0.1304E-03   0.6036E-04   0.1032E-01   0.6078E-01   0.1908E+01   0.4552E+00
   163   0.3240E+01   0.1255E-03   0.5692E-04   0.9986E-02   0.6251E-01   0.1917E+01   0.4593E+00
   164   0.3260E+01   0.1208E-03   0.5368E-04   0.9659E-02   0.6437E-01   0.1926E+01   0.4637E+00
   165   0.3280E+01   0.1162E-03   0.5062E-04   0.9340E-02   0.6635E-01   0.1935E+01   0.4681E+00
   166   0.3300E+01   0.1118E-03   0.4773E-04   0.9030E-02   0.6845E-01   0.1945E+01   0.4727E+00
   167   0.3320E+01   0.1075E-03   0.4501E-04   0.8729E-02   0.7068E-01   0.1954E+01   0.4774E+00
   168   0.3340E+01   0.1034E-03   0.4244E-04   0.8435E-02   0.7304E-01   0.1964E+01   0.4823E+00
   169   0.3360E+01   0.9937E-04   0.4002E-04   0.8149E-02   0.7553E-01   0.1974E+01   0.4872E+00
   170   0.3380E+01   0.9551E-04   0.3774E-04   0.7871E-02   0.7817E-01   0.1984E+01   0.4923E+00
   171   0.3400E+01   0.9178E-04   0.3559E-04   0.7601E-02   0.8096E-01   0.1995E+01   0.4974E+00
   172   0.3420E+01   0.8819E-04   0.3356E-04   0.7338E-02   0.8391E-01   0.2005E+01   0.5026E+00
   173   0.3440E+01   0.8471E-04   0.3165E-04   0.7082E-02   0.8701E-01   0.2016E+01   0.5080E+00
   174   0.3460E+01   0.8135E-04   0.2984E-04   0.6834E-02   0.9028E-01   0.2027E+01   0.5134E+00
   175   0.3480E+01   0.7811E-04   0.2814E-04   0.6592E-02   0.9372E-01   0.2037E+01   0.5188E+00
   176   0.3500E+01   0.7499E-04   0.2654E-04   0.6358E-02   0.9735E-01   0.2048E+01   0.5244E+00
   177   0.3520E+01   0.7197E-04   0.2502E-04   0.6131E-02   0.1012E+00   0.2059E+01   0.5300E+00
   178   0.3540E+01   0.6906E-04   0.2360E-04   0.5910E-02   0.1052E+00   0.2070E+01   0.5357E+00
   179   0.3560E+01   0.6625E-04   0.2225E-04   0.5696E-02   0.1094E+00   0.2081E+01   0.5415E+00
   180   0.3580E+01   0.6354E-04   0.2098E-04   0.5488E-02   0.1139E+00   0.2092E+01   0.5473E+00
   181   0.3600E+01   0.6093E-04   0.1979E-04   0.5286E-02   0.1185E+00   0.2104E+01   0.5532E+00
   182   0.3620E+01   0.5841E-04   0.1866E-04   0.5091E-02   0.1234E+00   0.2115E+01   0.5591E+00
