#   pt       r            w            wL          Qw            A            b           IP
   107   0.2120E+01   0.2081E-01   0.2088E-01   0.6089E+00   0.6670E+01   0.2722E+01   0.9259E+00
   108   0.2140E+01   0.1971E-01   0.1977E-01   0.5858E+00   0.6617E+01   0.2718E+01   0.9234E+00
   109   0.2160E+01   0.1867E-01   0.1872E-01   0.5636E+00   0.6563E+01   0.2714E+01   0.9208E+00
   110   0.2180E+01   0.1768E-01   0.1773E-01   0.5421E+00   0.6507E+01   0.2710E+01   0.9181E+00
   111   0.2200E+01   0.1675E-01   0.1679E-01   0.5213E+00   0.6449E+01   0.2706E+01   0.9153E+00
   112   0.2220E+01   0.1587E-01   0.1590E-01   0.5013E+00   0.6391E+01   0.2702E+01   0.9126E+00
   113   0.2240E+01   0.1503E-01   0.1506E-01   0.4820E+00   0.6333E+01   0.2698E+01   0.9098E+00
   114   0.2260E+01   0.1425E-01   0.1426E-01   0.4634E+00   0.6274E+01   0.2694E+01   0.9070E+00
   115   0.2280E+01   0.1350E-01   0.1350E-01   0.4454E+00   0.6216E+01   0.2690E+01   0.9043E+00
   116   0.2300E+01   0.1279E-01   0.1279E-01   0.4281E+00   0.6159E+01   0.2686E+01   0.9015E+00
   117   0.2320E+01   0.1212E-01   0.1211E-01   0.4114E+00   0.6103E+01   0.2682E+01   0.8989E+00
   118   0.2340E+01   0.1149E-01   0.1147E-01   0.3953E+00   0.6048E+01   0.2678E+01   0.8963E+00
   119   0.2360E+01   0.1089E-01   0.1086E-01   0.3798E+00   0.5996E+01   0.2674E+01   0.8938E+00
   120   0.2380E+01   0.1033E-01   0.1028E-01   0.3648E+00   0.5946E+01   0.2671E+01   0.8914E+00
   121   0.2400E+01   0.9789E-02   0.9738E-02   0.3503E+00   0.5898E+01   0.2667E+01   0.8892E+00
   122   0.2420E+01   0.9280E-02   0.9222E-02   0.3364E+00   0.5853E+01   0.2664E+01   0.8871E+00
   123   0.2440E+01   0.8799E-02   0.8733E-02   0.3230E+00   0.5811E+01   0.2661E+01   0.8851E+00
   124   0.2460E+01   0.8343E-02   0.8270E-02   0.3101E+00   0.5773E+01   0.2658E+01   0.8833E+00
   125   0.2480E+01   0.7912E-02   0.7832E-02   0.2976E+00   0.5738E+01   0.2656E+01   0.8817E+00
   126   0.2500E+01   0.7502E-02   0.7416E-02   0.2856E+00   0.5707E+01   0.2654E+01   0.8803E+00
   127   0.2520E+01   0.7115E-02   0.7023E-02   0.2741E+00   0.5681E+01   0.2652E+01   0.8790E+00
   128   0.2540E+01   0.6747E-02   0.6651E-02   0.2629E+00   0.5659E+01   0.2650E+01   0.8780E+00
   129   0.2560E+01   0.6399E-02   0.6298E-02   0.2522E+00   0.5641E+01   0.2649E+01   0.8772E+00
   130   0.2580E+01   0.6069E-02   0.5964E-02   0.2418E+00   0.5628E+01   0.2648E+01   0.8766E+00
   131   0.2600E+01   0.5756E-02   0.5648E-02   0.2319E+00   0.5621E+01   0.2648E+01   0.8763E+00
   132   0.2620E+01   0.5459E-02   0.5348E-02   0.2223E+00   0.5618E+01   0.2648E+01   0.8762E+00
   133   0.2640E+01   0.5178E-02   0.5065E-02   0.2130E+00   0.5622E+01   0.2648E+01   0.8763E+00
   134   0.2660E+01   0.4910E-02   0.4796E-02   0.2041E+00   0.5630E+01   0.2648E+01   0.8767E+00
   135   0.2680E+01   0.4657E-02   0.4542E-02   0.1956E+00   0.5645E+01   0.2649E+01   0.8774E+00
   136   0.2700E+01   0.4417E-02   0.4301E-02   0.1873E+00   0.5666E+01   0.2651E+01   0.8783E+00
   137   0.2720E+01   0.4189E-02   0.4073E-02   0.1794E+00   0.5693E+01   0.2652E+01   0.8794E+00
   138   0.2740E+01   0.3972E-02   0.3857E-02   0.1717E+00   0.5727E+01   0.2655E+01   0.8809E+00
   139   0.2760E+01   0.3767E-02   0.3653E-02   0.1644E+00   0.5767E+01   0.2657E+01   0.8826E+00
   140   0.2780E+01   0.3572E-02   0.3459E-02   0.1573E+00   0.5815E+01   0.2660E+01   0.8845E+00
   141   0.2800E+01   0.3386E-02   0.3276E-02   0.1505E+00   0.5870E+01   0.2664E+01   0.8868E+00
   142   0.2820E+01   0.3211E-02   0.3102E-02   0.1440E+00   0.5933E+01   0.2667E+01   0.8893E+00
   143   0.2840E+01   0.3044E-02   0.2937E-02   0.1377E+00   0.6003E+01   0.2671E+01   0.8921E+00
   144   0.2860E+01   0.2885E-02   0.2782E-02   0.1316E+00   0.6082E+01   0.2676E+01   0.8952E+00
